player,team,team_games,minutes,position,np_shots,np_goals,npxg,np_xplace,xassists
Hannah Bebar,BAY,21,2076,DM,23,1,0.7299,-0.5186,1.8851
Mandy McGlynn,UTA,22,1658,GK,0,0,0,0,0.1326
Alyssa Naeher,CHI,22,733,GK,0,0,0,0,0
Madeline Moreau,BAY,21,1399,FB,2,0,0.0932,-0.0932,0.4016
Isabella Obaze,POR,22,917,CB,6,0,0.3538,0.3872,0.0188
Annie Karich,BOS,22,2240,DM,16,0,0.4168,-0.1551,0.6511
Isabel Rodriguez,KC,23,2272,FB,15,0,0.8369,-0.2332,3.4458
Barbra Banda,ORL,22,1522,ST,70,13,9.4476,0.376,2.5332
Uno Shiragaki,NC,22,1468,CB,6,0,0.5242,0.0837,0.1897
Brooklyn Courtnall,SD,22,886,CB,4,0,0.2948,-0.2948,0.0302
Laurina Fazer,SD,22,1302,DM,8,0,0.3856,-0.3856,0.7365
Nádia Gomes,CHI,22,1567,W,17,2,1.5215,0.0019,0.8516
Maggie Graham,HOU,22,2149,CM,14,2,1.6534,0.3718,1.4216
Savannah McCaskill,NJY,23,2004,DM,16,0,0.8356,-0.6914,1.44
Bárbara Olivieri,BOS,22,1466,W,20,1,0.881,-0.44,1.4664
Kate Faasse,HOU,22,1197,ST,19,4,3.9395,-0.125,1.0149
Katie O'Kane,LOU,22,2015,DM,33,2,2.4729,-1.6905,2.7838
Emily Sams,LA,21,2123,CB,12,1,1.0628,-0.0022,1.1932
Sarah Gorden,LA,21,1970,CB,2,0,0.1805,-0.1805,0.2012
Nichelle Prince,BOS,22,1925,W,13,2,1.8684,-0.5845,2.9152
Emma Sears,LOU,22,1811,W,46,7,5.1822,-0.0851,2.9242
Reilyn Turner,POR,22,804,W,23,5,2.4304,0.1886,0.2434
Emma Regan,DEN,21,669,DM,1,0,0.0142,-0.0035,0.0245
Gisele Thompson,LA,21,2143,FB,19,4,1.4508,1.2199,2.1745
Lauren Milliet,LOU,22,2138,FB,23,3,3.1666,-0.4361,3.032
Jorelyn Carabali,BOS,22,1853,CB,8,0,0.4082,-0.2777,0.7158
Dudinha,SD,22,1247,W,36,5,3.9636,-1.6561,2.7912
Melanie Barcenas,SD,22,1109,W,42,5,3.9367,1.2998,0.9442
Sally Menti,SEA,21,1132,AM,15,2,1.6566,-0.532,1.9611
Lia Eugenia Godfrey,SD,22,1457,AM,28,5,4.4004,1.1033,2.6291
Emerson Elgin,BOS,22,1566,CB,3,0,0.2528,-0.2409,0.5523
Kathrin Hendrich,CHI,22,899,CB,3,0,0.1548,0.0642,0.0363
Natalie Means,DEN,21,744,W,10,1,0.7137,-0.2448,0.4277
Trinity Rodman,WAS,22,2093,W,80,10,9.301,-2.4782,3.5511
Katie Atkinson,CHI,22,1440,GK,0,0,0,0,0
Bayley Feist,KC,23,1061,DM,9,0,0.8115,-0.5541,0.9043
Mary Vignola,POR,22,1774,FB,7,1,0.7662,0.2235,0.5322
Mina Tanaka,UTA,22,1723,AM,44,5,4.2695,0.2043,3.1317
Jameese Joseph,CHI,22,1464,W,24,1,1.6086,0.4297,0.936
Aldana Cometti,BAY,21,1451,CB,4,0,0.1432,-0.1432,0.2092
Mia Fishel,SEA,21,1193,ST,27,2,4.4478,-1.3124,1.2164
Courtney Petersen,LOU,22,1307,CB,5,0,0.1832,-0.0812,1.622
Jane Campbell,HOU,22,2147,GK,0,0,0,0,0
Paige Metayer,WAS,22,865,W,9,1,2.1182,-0.5824,1.1332
Kaleigh Kurtz,DEN,21,2117,CB,3,0,0.252,-0.252,0.3656
Emily Mason,SEA,21,1020,CB,5,0,0.3209,-0.3049,0
Ryan Williams,NC,22,2297,FB,9,0,0.4491,-0.4161,3.8301
Jordyn Bloomer,LOU,22,2057,GK,0,0,0,0,0
Tatumn Milazzo,UTA,22,1238,CB,9,4,1.4861,0.9776,0.2194
Narumi Miura,UTA,22,1561,DM,16,3,1.0202,0.0086,0.6597
Ana Tejada,UTA,22,1752,DM,31,0,1.4219,0.1197,1.0808
Karlie Lema,BAY,21,1413,ST,41,5,5.8786,-2.0304,0.5199
Marie Muller,POR,22,1357,FB,15,1,1.0008,-0.7629,0.8443
Jenna Bike,CHI,22,1049,FB,8,0,0.4563,-0.1214,0.9535
Gabrielle Carle,WAS,22,1441,FB,5,0,0.3613,-0.3271,0.5638
Ainsley Mccammon,SEA,21,1574,DM,22,0,1.2122,-0.6339,1.6133
Lucia Di Guglielmo,WAS,22,1037,FB,5,0,0.2834,-0.2697,0.0474
Michelle Alozie,CHI,22,907,FB,9,0,0.7237,-0.124,0.4973
Kennedy Wesley,SD,22,2254,CB,8,1,0.5839,0.7916,0.2451
Sandy MacIver,WAS,22,2255,GK,0,0,0,0,0.0897
Avery Patterson,HOU,22,2065,FB,25,0,1.2682,-1.1517,2.1638
Evelyn Shores,LA,21,1730,FB,18,1,1.3572,-0.2691,1.6242
Josefine Hasbo,BOS,22,1008,CM,10,0,0.8208,-0.2278,0.3815
Guro Reiten,NJY,23,1619,FB,9,0,0.5111,-0.4414,2.4068
Érica Parkinson,NC,22,799,AM,15,0,1.0025,-0.461,0.8084
Ella Hase,LOU,22,1161,W,12,0,0.9571,-0.7123,1.0799
Kate Wiesner,WAS,22,1303,FB,7,0,0.2944,-0.2737,1.3032
Samantha Smith,BOS,22,1410,FB,34,5,3.4418,2.0381,1.298
Claire Hutton,BAY,21,2139,DM,24,0,1.9535,-0.4052,1.3578
Midge Purce,NJY,23,1551,FB,13,3,0.989,0.7622,1.6944
Leicy Santos,WAS,22,1664,AM,35,5,3.1733,0.4856,3.8454
Kayla Sharples,KC,23,1817,CB,9,0,1.2914,-0.5009,0.2417
